Peden Stadium,Ohio,http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Peden_Stadium_Interior.jpg/80px-Peden_Stadium_Interior.jpg,Athens,OH,MAC,1929,24000,25893,2012
Qualcomm Stadium,San Diego State,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Qualcomm_Stadium.jpg/80px-Qualcomm_Stadium.jpg,San Diego,CA,Mountain West,1967,70561,68537,2005
Raymond James Stadium,USF,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Raymond_James_Stadium_aerial.jpg/80px-Raymond_James_Stadium_aerial.jpg,Tampa,FL,American,1998,65857,71921,2001
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Arkansas,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/09-02-06-RazorbacksEnterRSS.jpg/80px-09-02-06-RazorbacksEnterRSS.jpg,Fayetteville,AR,SEC,1938,72000,76808,2010
Rentschler Field,Connecticut,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Rentschler_Field_UConn.jpg/80px-Rentschler_Field_UConn.jpg,East Hartford,CT,American,2003,40000,42704,
Reser Stadium,Oregon State,http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/ReserStadium2012.jpg/80px-ReserStadium2012.jpg,Corvallis,OR,Pac-12,1953,45674,46469,2010
Rice Stadium,Rice,http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Rice_University_Stadium.jpg/80px-Rice_University_Stadium.jpg,Houston,TX,C-USA,1950,47000,73000,
Rice-Eccles Stadium,Utah,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Rice-eccles_Stadium.jpg/80px-Rice-eccles_Stadium.jpg,Salt Lake City,UT,Pac-12,1998,45017,46768,2003
Jerry Richardson Stadium,North Carolina,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/McColl-Richardson_Field.JPG/80px-McColl-Richardson_Field.JPG,Charlotte,NC,"[u'C-USA', u'[n 1]']",2013,15314,,
M. M. Roberts Stadium,Southern Miss,http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Therock.jpg/80px-Therock.jpg,Hattiesburg,MS,C-USA,1932,36000,36232,2008
Romney Stadium,Utah State,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Romney_stadium_usu_football.jpg/80px-Romney_stadium_usu_football.jpg,Logan,UT,Mountain West,1968,25513,33119,1996
Rose Bowl,UCLA,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Rose_Bowl_July_2007.jpg/80px-Rose_Bowl_July_2007.jpg,Pasadena,CA,Pac-12,"[-1546300800000, -1514764800000]",92542,106869,1973
Ross-Ade Stadium,Purdue,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/RossAde.JPG/80px-RossAde.JPG,West Lafayette,IN,Big Ten,1924,56400,71629,1980
Ryan Field,Northwestern,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ryan_Field.jpg/80px-Ryan_Field.jpg,Evanston,IL,Big Ten,1926,47130,55752,1962
Rynearson Stadium,Eastern Michigan,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Rynearsonwide-B-121107.jpg/80px-Rynearsonwide-B-121107.jpg,Ypsilanti,MI,MAC,1969,30200,26188,2008
